英文詞彙,詞性,中文解釋
congratulations,exclam,恭喜 (感嘆詞)
connect,v,連接；聯繫 (動詞)
connection,n,連接；關係 (名詞)
consider,v,考慮；認為 (動詞)
consist,v,組成；在於 (動詞) (常與of連用: consist of)
consonant,n,子音；輔音 (名詞)
contact,n,聯繫；接觸 (名詞)
contact,v,聯繫；接觸 (動詞)
contain,v,包含；容納 (動詞)
contents,n pl,內容物；目錄 (名詞複數)
contest,n,比賽；競賽 (名詞)
continent,n,大陸；洲 (名詞)
continue,v,繼續 (動詞)
contract,n,合約；契約 (名詞)
control,n,控制；管理 (名詞) (例如: a remote control)
control,v,控制；管理 (動詞) (例如: Control your dog!)
convenient,adj,方便的；便利的 (形容詞)
conversation,n,對話；交談 (名詞)
convince,v,說服；使確信 (動詞)
cook,n,廚師 (名詞)
cook,v,烹飪；煮 (動詞)
cooker,n,爐具 (名詞) (英式英語)
cookie,n,餅乾 (名詞) (美式英語)
cooking,n,烹飪；烹調術 (名詞)
cool,adj,涼爽的；酷的；冷靜的 (形容詞)
cool,exclam,酷啊! (感嘆詞)
cool,v,使變涼；冷靜下來 (動詞)
copy,n,副本；拷貝；一份 (名詞)
copy,v,複製；抄襲 (動詞)
corn,n,玉米；穀物 (名詞)
corner,n,角落；街角 (名詞)
correct,adj,正確的 (形容詞)
correction,n,訂正；修改 (名詞)
cost,n,成本；費用；代價 (名詞)
cost,v,花費；值 (動詞)
costume,n,服裝；戲服 (名詞) (例如: I forgot my swimming costume.; national costume; a Halloween costume)
cosy,adj,舒適的；溫馨的 (形容詞) (英式拼法)
cozy,adj,舒適的；溫馨的 (形容詞) (美式拼法)
cottage,n,小屋；村舍 (名詞)
cotton,n,棉花；棉布 (名詞)
cough,n,咳嗽 (名詞)
cough,v,咳嗽 (動詞)
could,mv,能夠(can的過去式)；可以(表可能性或客氣請求) (情態助動詞)
count,v,計算；數；重要 (動詞)
country,n,國家；鄉村 (名詞)
countryside,n,鄉村；郊外 (名詞)
couple,n,一對；夫婦；幾個 (名詞)
courage,n,勇氣 (名詞)
course,n,課程；路線；一道菜 (名詞) (例如: English course; main course)
of course,exclam,當然 (感嘆詞/片語)
court,n,法庭；球場 (名詞) (例如: law court; tennis court)
cousin,n,表(堂)兄弟姊妹 (名詞)
cover,n,封面；覆蓋物 (名詞)
cover,v,覆蓋；包含；報導 (動詞)
cow,n,母牛；乳牛 (名詞)
crash,n,碰撞；墜毀 (名詞)
crash,v,碰撞；墜毀；當機 (動詞)
crazy,adj,瘋狂的；古怪的 (形容詞)
cream,adj,奶油色的 (形容詞)
cream,n,奶油；乳霜 (名詞)
create,v,創造；創作 (動詞)
creative,adj,有創造力的；創新的 (形容詞)
creature,n,生物；動物 (名詞)
credit,n,信用；學分；讚揚 (名詞)
credit card,n,信用卡 (名詞)
crew,n,全體船員；機組人員；工作人員 (名詞) (例如: cabin crew)
cricket,n,板球；蟋蟀 (名詞)
crime,n,罪；犯罪 (名詞)
criminal,n,罪犯 (名詞)
crop,n,農作物；收成 (名詞)
cross,n,十字形；十字架 (名詞)
cross,v,越過；交叉 (動詞)
crossing,n,十字路口；人行道；渡口 (名詞) (例如: pedestrian crossing)
cross out,phr v,劃掉；刪去 (片語動詞) (例如: Cross it out and write it again.)
crossroads,n,十字路口 (名詞)
crowd,n,人群 (名詞)
crowded,adj,擁擠的 (形容詞)
cruel,adj,殘酷的；殘忍的 (形容詞)
cruise,n,乘船遊覽；巡航 (名詞)
cry,n,哭；叫喊 (名詞)
cry,v,哭；叫喊 (動詞)
cucumber,n,黃瓜 (名詞)
cultural,adj,文化的 (形容詞)
culture,n,文化 (名詞)
cup,n,杯子 (名詞)
cupboard,n,櫥櫃；碗櫃 (名詞)
cure,n,治療法；痊癒 (名詞)
cure,v,治癒 (動詞)
curious,adj,好奇的 (形容詞)
curiously,adv,好奇地 (副詞) (例如: 'Why?' she asked him curiously.)
curly,adj,捲曲的 (形容詞)
currency,n,貨幣 (名詞)
curriculum,n,課程 (名詞) (指總體課程)
curry,n,咖哩 (名詞)
curtain,n,窗簾；布幕 (名詞)
cushion,n,墊子；靠墊 (名詞)
custom,n,習俗；慣例 (名詞)
customer,n,顧客 (名詞)
customs,n pl,海關；關稅 (名詞複數) (例如: I work as a customs officer.)
cut,n,切口；削減 (名詞)
cut,v,切；割；剪；削減 (動詞)
cute,adj,可愛的；俏皮的 (形容詞)
cut up,phr v,切碎 (片語動詞) (例如: She cut up the cake into small pieces.)
CV,n,履歷 (名詞) (Curriculum Vitae)
cycle,n,週期；循環；自行車 (名詞)
cycle,v,騎自行車；循環 (動詞)
cycling,n,騎自行車運動 (名詞)
cyclist,n,騎自行車的人 (名詞)
dad,n,爸爸 (名詞)
daily,adj,每日的 (形容詞)
daily,adv,每日 (副詞)
damage,n,損害；損失 (名詞)
damage,v,損害；毀壞 (動詞)
damaged,adj,受損的 (形容詞)
dance,n,舞蹈；舞會 (名詞)
dance,v,跳舞 (動詞)
dancer,n,舞者 (名詞)
dancing,n,跳舞 (名詞)
danger,n,危險 (名詞)
dangerous,adj,危險的 (形容詞)
dark,adj,黑暗的；深色的 (形容詞)
dark,n,黑暗 (名詞)
data,n,資料；數據 (名詞) (datum的複數，常用作單數或複數)
date,n,日期；約會；棗子 (名詞) (例如: today's date)
date,v,約會；註明日期 (動詞)
daughter,n,女兒 (名詞)
day,n,天；白天 (名詞)
dead,adj,死的 (形容詞)
deaf,adj,聾的 (形容詞)
deal,v,處理；交易；發牌 (動詞)
deal with,phr v,處理；應付 (片語動詞) (例如: I've had some problems to deal with.; I deal with many people in my job.)
dear,adj,親愛的；昂貴的 (形容詞) (例如: too dear to buy; Dear Sir)
dear,exclam,哎呀 (感嘆詞) (例如: Oh dear!)
death,n,死亡 (名詞)
decide,v,決定 (動詞)
decision,n,決定；決心 (名詞)
declare,v,宣布；申報 (動詞)
decorate,v,裝飾；佈置 (動詞)
decrease,n,減少；降低 (名詞)
decrease,v,減少；降低 (動詞)
deep,adj,深的 (形容詞)
deep,adv,深深地 (副詞)
defeat,n,失敗；擊敗 (名詞)
defeat,v,擊敗；戰勝 (動詞)
defence,n,防禦；辯護 (名詞) (英式拼法)
defense,n,防禦；辯護 (名詞) (美式拼法)
defend,v,防禦；保衛；辯護 (動詞)
definitely,adv,肯定地；明確地 (副詞)
degree,n,度數；程度；學位 (名詞) (例如: 90 degrees; a degree in maths)
delay,n,延遲；耽擱 (名詞)
delay,v,延遲；耽擱 (動詞)
delete,v,刪除 (動詞)
delicious,adj,美味的 (形容詞)
delighted,adj,高興的；快樂的 (形容詞)
deliver,v,遞送；發表(演說) (動詞)
delivery,n,遞送；分娩 (名詞)
demand,n,要求；需求 (名詞)
demand,v,要求；需要 (動詞)
dentist,n,牙醫 (名詞)
depart,v,出發；離開 (動詞)
department,n,部門；系 (名詞)
department store,n,百貨公司 (名詞)
departure,n,離開；出發 (名詞)
depend (on/upon),phr v,依賴；取決於 (片語動詞) (例如: It depends on what you want to do.)
deposit,n,存款；押金 (名詞) (例如: pay a deposit)
depressed,adj,沮喪的；蕭條的 (形容詞)
depth,n,深度 (名詞) (例如: the depth of the water)
describe,v,描述；形容 (動詞)
description,n,描述；形容 (名詞)
desert,n,沙漠 (名詞)
deserve,v,應得；值得 (動詞)
design,n,設計；圖案 (名詞)
design,v,設計 (動詞)
designer,n,設計師 (名詞)
desk,n,書桌；辦公桌 (名詞)
despite,prep,儘管；雖然 (介係詞)
dessert,n,甜點 (名詞)
destination,n,目的地 (名詞)
destroy,v,破壞；摧毀 (動詞)
detail,n,細節；詳情 (名詞)
detective,n,偵探 (名詞)
develop,v,發展；開發；沖洗(照片) (動詞)
development,n,發展；開發 (名詞)
diagram,n,圖表；圖解 (名詞)
dial,v,撥號 (動詞)
diary,n,日記；日誌 (名詞)
dictionary,n,字典；辭典 (名詞)
die,v,死亡 (動詞)
diet,n,飲食；節食 (名詞)
difference,n,差異；不同之處 (名詞)
different,adj,不同的 (形容詞)
difficult,adj,困難的 (形容詞)
difficulty,n,困難；難題 (名詞)
dig,v,挖掘 (動詞)
digital,adj,數位的；數字的 (形容詞)
digital camera,n,數位相機 (名詞)
dining room,n,飯廳 (名詞)
dinner,n,晚餐；正餐 (名詞)
dinosaur,n,恐龍 (名詞)
diploma,n,文憑；畢業證書 (名詞)
direct,adj,直接的；直率的 (形容詞)
direct,v,指導；導演；指示方向 (動詞)
direction,n,方向；指示；管理 (名詞)
directly,adv,直接地；徑直地 (副詞)
director,n,導演；董事；主管 (名詞)
dirt,n,污垢；泥土 (名詞)
dirty,adj,骯髒的 (形容詞)
disabled,adj,殘障的；傷殘的 (形容詞)
disadvantage,n,缺點；不利條件 (名詞)
disagree,v,不同意 (動詞)
disappear,v,消失 (動詞)
disappoint,v,使失望 (動詞)
disappointed,adj,感到失望的 (形容詞)
disappointing,adj,令人失望的 (形容詞)
disappointment,n,失望 (名詞)
disc,n,光碟；圓盤 (名詞) (例如: hard disc)
disk,n,磁碟；圓盤 (名詞) (同disc)
disc jockey,n,DJ；唱片騎士 (名詞)
disco,n,迪斯可舞廳 (名詞)
discotheque,n,迪斯可舞廳 (名詞) (disco的完整寫法)
discount,n,折扣 (名詞)
discover,v,發現 (動詞)
discovery,n,發現 (名詞)
discuss,v,討論 (動詞)
discussion,n,討論 (名詞)
disease,n,疾病 (名詞)
disgusting,adj,令人作嘔的；噁心的 (形容詞)
dish,n,盤子；一道菜 (名詞)
dishwasher,n,洗碗機 (名詞)
dislike,v,不喜歡；厭惡 (動詞)
display,n,展示；陳列；顯示 (名詞)
display,v,展示；陳列；顯示 (動詞)
distance,n,距離 (名詞)
district,n,地區；區域 (名詞)
disturb,v,打擾；擾亂 (動詞)
dive,v,潛水；跳水；俯衝 (動詞)
diver,n,潛水員 (名詞)
divide,v,劃分；分開；除 (動詞)
diving,n,潛水；跳水 (名詞)
DJ,n,DJ；唱片騎士 (名詞) (disc jockey的縮寫)
do,av,的確(助動詞，表強調)
do,v,做；行 (動詞)
doctor,n,醫生 (名詞)
Dr,n,醫生；博士 (名詞) (doctor的縮寫)
document,n,文件；公文 (名詞)
documentary,n,紀錄片 (名詞)
dog,n,狗 (名詞)
doll,n,洋娃娃 (名詞)
dollar,n,元(貨幣單位，如美元、加幣) (名詞)
dolphin,n,海豚 (名詞)
donkey,n,驢子 (名詞)
door,n,門 (名詞)
dot,n,點；圓點 (名詞) (例如: Have you visited CambridgeESOL dot org?)
double,adj,雙倍的；雙人的 (形容詞)
double,det,雙倍的 (限定詞)
doubt,n,懷疑；疑問 (名詞)
doubt,v,懷疑 (動詞) (例如: I doubt that I'll get the job)
down,adv,向下；(情緒)低落 (副詞)
down,prep,向下；沿著 (介係詞)
download,n,下載 (名詞)
download,v,下載 (動詞)
downstairs,adj,樓下的 (形容詞)
downstairs,adv,在樓下；往樓下 (副詞)
dozen,det,一打(十二個) (限定詞)
dozen,n,一打(十二個) (名詞)
drag,v,拖；拉 (動詞) (例如: Just drag and drop the file into the trash can.)
drama,n,戲劇；劇本 (名詞)
draw,v,畫；拉；吸引 (動詞) (例如: to draw a picture; to draw the curtains; to draw near)
drawer,n,抽屜 (名詞)
drawing,n,繪畫；圖畫 (名詞)
dream,n,夢；夢想 (名詞)
dream,v,做夢；夢想 (動詞)
dress,n,洋裝；服裝 (名詞)
dress,v,穿衣服；打扮 (動詞)
dressed,adj,穿著衣服的 (形容詞) (例如: get dressed)
drink,n,飲料；喝酒 (名詞)
drink,v,喝；飲酒 (動詞)
drive,n,駕車；驅動力；車道 (名詞)
drive,v,駕駛；驅使 (動詞)
driver,n,司機 (名詞)
driving licence,n,駕照 (名詞) (英式拼法)
driver's license,n,駕照 (名詞) (美式拼法)
drop,n,滴；落下；少量 (名詞)
drop,v,落下；放棄；減少 (動詞)
drugstore,n,藥妝店；藥房(兼售雜貨) (名詞) (美式英語)
drum,n,鼓 (名詞)
dry,adj,乾燥的；乾的 (形容詞)
dry,v,弄乾；變乾 (動詞)
duck,n,鴨子 (名詞)
due,adj,到期的；預計的；應付的 (形容詞) (例如: The next bus is due in five minutes.)
due to,prep phr,由於；因為 (介片語)
dull,adj,乏味的；陰暗的；鈍的 (形容詞)
during,prep,在...期間 (介係詞)
dust,n,灰塵 (名詞)
dustbin,n,垃圾桶 (名詞) (英式英語)
dusty,adj,佈滿灰塵的 (形容詞)
duty,n,責任；義務；稅 (名詞)
duty-free,adj,免稅的 (形容詞)
duty-free,n,免稅品 (名詞)
duvet,n,羽絨被 (名詞)
DVD,n,數位影碟 (名詞) (Digital Versatile Disc)
DVD player,n,DVD播放器 (名詞)
each,det,每個 (限定詞)
each,pron,每個 (代名詞)
ear,n,耳朵；聽力 (名詞)
earache,n,耳痛 (名詞)
early,adj,早的；初期的 (形容詞)
early,adv,早地；初期地 (副詞)
earn,v,賺取；贏得 (動詞)
earring,n,耳環 (名詞)
earth,n,地球；陸地；泥土 (名詞)
east,adj,東方的 (形容詞)
east,adv,向東方 (副詞)
east,n,東方 (名詞)
eastern,adj,東方的；東部的 (形容詞)
easily,adv,容易地 (副詞)
easy,adj,容易的；輕鬆的 (形容詞)
easygoing,adj,隨和的；悠哉的 (形容詞)
eat,v,吃 (動詞)
economics,n,經濟學 (名詞)
edge,n,邊緣；優勢 (名詞)
education,n,教育 (名詞)
effect,n,效果；影響 (名詞)
efficient,adj,有效率的 (形容詞)
effort,n,努力；力氣 (名詞)
egg,n,蛋 (名詞)
either,adv,也(用於否定句) (副詞)
either,det,兩者任一的 (限定詞)
either,pron,兩者任一個 (代名詞)
elbow,n,手肘 (名詞)
elder,adj,年長的 (形容詞) (指兄弟姊妹或家庭成員)
elderly,adj,年長的；上了年紀的 (形容詞)
election,n,選舉 (名詞)
electric,adj,電的；用電的 (形容詞)
electrical,adj,與電有關的；電機的 (形容詞)
electricity,n,電力；電 (名詞)
electronic,adj,電子的 (形容詞)
elementary,adj,初級的；基本的 (形容詞) (例如: elementary level)
elephant,n,大象 (名詞)
elevator,n,電梯 (名詞) (美式英語)
else,adv,其他的；另外 (副詞)
email,n,電子郵件 (名詞)
email,v,寄電子郵件 (動詞)
embarrassed,adj,感到尷尬的；不好意思的 (形容詞)
embarrassing,adj,令人尷尬的 (形容詞)
embassy,n,大使館 (名詞)
emergency,n,緊急情況 (名詞)
employ,v,僱用 (動詞)
employee,n,員工；受僱者 (名詞)
employer,n,雇主 (名詞)
employment,n,就業；工作 (名詞)
empty,adj,空的 (形容詞)
encourage,v,鼓勵 (動詞)
end,n,結束；末端；目的 (名詞)
end,v,結束 (動詞)
ending,n,結局；結尾 (名詞)
end up,phr v,結果是；最終成為 (片語動詞) (例如: He plans to end up working in Australia.)
enemy,n,敵人 (名詞)
energy,n,精力；能量；能源 (名詞) (例如: Team sports take a lot of time and energy.; In our house we try to save energy.)
engaged,adj,已訂婚的；忙碌的；(電話)佔線的 (形容詞) (例如: to be engaged to someone; The phone was engaged.)
engine,n,引擎；發動機 (名詞)
engineer,n,工程師 (名詞)
engineering,n,工程學 (名詞)
enjoy,v,享受；喜愛 (動詞)
enjoyable,adj,令人愉快的；有趣的 (形容詞)
enormous,adj,巨大的；龐大的 (形容詞)
enough,adv,足夠地 (副詞)
enough,det,足夠的 (限定詞)
enough,pron,足夠的量 (代名詞)
enquire,v,詢問；調查 (動詞) (英式拼法)
inquire,v,詢問；調查 (動詞) (美式拼法)
enquiry,n,詢問；調查 (名詞) (英式拼法)
inquiry,n,詢問；調查 (名詞) (美式拼法)
enter,v,進入；參加；輸入 (動詞)
entertain,v,娛樂；款待 (動詞)
entertainment,n,娛樂；款待 (名詞)
entrance,n,入口；進入 (名詞)
entry,n,進入；入口；參賽作品；條目 (名詞)
envelope,n,信封 (名詞)
environment,n,環境 (名詞)
environmental,adj,環境的 (形容詞)
equal,adj,相等的；平等的 (形容詞)
equipment,n,設備；器材 (名詞) (不可數)
eraser,n,橡皮擦 (名詞) (美式英語)
escape,v,逃脫；逃避 (動詞)
especially,adv,尤其；特別 (副詞)
essay,n,散文；短文；論文 (名詞)
essential,adj,必要的；本質的 (形容詞)
euro,n,歐元 (名詞)
even,adv,甚至；即使；更加 (副詞) (例如: He couldn't even do that.)
evening,n,傍晚；晚上 (名詞)
event,n,事件；活動；比賽項目 (名詞)
even though,conj,即使；雖然 (連接詞)
ever,adv,曾經；從來；總是 (副詞)
every,det,每個；每一 (限定詞)
everybody,pron,每個人 (代名詞)
everyone,pron,每個人 (代名詞)
everything,pron,每件事物 (代名詞)
everywhere,adv,到處；無論何處 (副詞)
exact,adj,確切的；精確的 (形容詞)
exactly,adv,確切地；正是 (副詞)
examination,n,考試；檢查 (名詞)
exam,n,考試 (名詞) (examination的縮寫)
examiner,n,主考人；檢查員 (名詞)
example,n,例子；榜樣 (名詞)
excellent,adj,優秀的；傑出的 (形容詞)
except,prep,除了...之外 (介係詞)
except,conj,除了...之外 (連接詞)
exchange,n,交換；兌換 (名詞) (例如: an exchange visit; in exchange for)
exchange,v,交換；兌換 (動詞)
exchange rate,n,匯率 (名詞)
excited,adj,興奮的；激動的 (形容詞)
excitement,n,興奮；刺激 (名詞)
exciting,adj,令人興奮的；刺激的 (形容詞)
excuse,n,藉口；原諒 (名詞)
excuse,v,原諒；作為...的藉口 (動詞)
exercise,n,運動；練習 (名詞)
exercise,v,運動；鍛鍊；運用 (動詞)
exhausted,adj,筋疲力盡的 (形容詞)
exhibition,n,展覽；展覽會 (名詞)
exist,v,存在 (動詞)
exit,n,出口；離去 (名詞)
expect,v,預期；期望；期待 (動詞)
expedition,n,遠征；探險隊 (名詞)
expensive,adj,昂貴的 (形容詞)
experience,n,經驗；經歷 (名詞)
experience,v,經歷；體驗 (動詞) (例如: It was the worst pain I'd ever experienced.)
experienced,adj,有經驗的 (形容詞)
experiment,n,實驗 (名詞)
expert,n,專家 (名詞)
explain,v,解釋；說明 (動詞)
explanation,n,解釋；說明 (名詞)
explode,v,爆炸 (動詞)
explore,v,探索；探險 (動詞)
explorer,n,探險家 (名詞) (例如: This book's about famous explorers.)
extra,adj,額外的；特大的 (形容詞)
extra,adv,額外地 (副詞)
extra,n,額外的事物；臨時演員 (名詞)
extraordinary,adj,非凡的；特別的 (形容詞)
extremely,adv,非常；極其 (副詞)
extreme sport,n,極限運動 (名詞)
eye,n,眼睛 (名詞)
face,n,臉；面容；表面 (名詞) (例如: a sad look on his face)
face to face,adv,面對面地 (副詞)
face-to-face,adj,面對面的 (形容詞)
facilities,n pl,設施；設備 (名詞複數) (例如: The hotel has excellent facilities.)
fact,n,事實；真相 (名詞)
factory,n,工廠 (名詞)
fail,v,失敗；不及格；未能(做某事) (動詞)
fair,adj,公平的；晴朗的；白皙的；尚可的 (形容詞)
fair,n,市集；博覽會 (名詞)
fairly,adv,相當地；公正地 (副詞)
fall,n,秋天(美式)；跌倒；落下；瀑布 (名詞) (例如: in the fall (Am Eng); a fall in the price)
fall,v,跌倒；落下；下降 (動詞) (例如: He fell and hurt his leg.)
false,adj,錯誤的；假的 (形容詞)
familiar (with),adj,熟悉的 (形容詞)
family,n,家庭；家人 (名詞)
famous,adj,著名的；出名的 (形容詞)
fan,n,風扇；扇子；迷 (名詞)
fancy,v,喜歡；想要；想像 (動詞) (例如: Do you fancy going out tonight?)
fantastic,adj,極好的；奇妙的 (形容詞)
far,adv,遠；遙遠地；非常 (副詞)
fare,n,票價；車費 (名詞) (例如: The return fare is £26.)
farm,n,農場 (名詞)
farmer,n,農夫 (名詞)
farming,n,農業；務農 (名詞)
fashion,n,時尚；流行 (名詞)
fashionable,adj,時尚的；流行的 (形容詞)
fast,adj,快的；牢固的 (形容詞)
fast,adv,快地；牢固地 (副詞)
fasten,v,繫緊；扣住 (動詞)
fast food,n,速食 (名詞)
fat,adj,胖的；肥的；脂肪多的 (形容詞)
father,n,父親 (名詞)
fault,n,過錯；缺點；故障 (名詞)
favour,n,恩惠；善意；偏愛 (名詞) (英式拼法)
favor,n,恩惠；善意；偏愛 (名詞) (美式拼法)
favourite,adj,最喜愛的 (形容詞) (英式拼法)
favourite,n,最喜愛的人事物 (名詞) (英式拼法)
favorite,adj,最喜愛的 (形容詞) (美式拼法)
favorite,n,最喜愛的人事物 (名詞) (美式拼法)
fax,v,傳真 (動詞)
fear,n,害怕；恐懼 (名詞)
fee,n,費用；酬金 (名詞)
feed,v,餵養；吃 (動詞)
feel,v,感覺；觸摸；認為 (動詞)
feeling,n,感覺；情感 (名詞)
feel like,v,想要做 (動詞) (例如: to feel like doing something)
female,adj,女性的；雌性的 (形容詞)
female,n,女性；雌性動物 (名詞)
ferry,n,渡輪 (名詞)
festival,n,節日；慶典 (名詞)
fetch,v,拿來；取來 (動詞)
fever,n,發燒；狂熱 (名詞)
few,adj,很少的；一些 (形容詞) (與可數名詞連用)
few,det,很少的；一些 (限定詞) (與可數名詞連用)
few,pron,很少數；一些人/物 (代名詞)
fiction,n,小說；虛構的事 (名詞)
field,n,田野；領域；運動場 (名詞)
fight,n,打架；戰鬥 (名詞)
fight,v,打架；戰鬥 (動詞)
figure,n,數字；身材；人物；圖形 (名詞)
file,n,文件夾；檔案 (名詞) (例如: Click here to open the file.; study files)
file,v,歸檔 (動詞)
fill,v,充滿；填滿 (動詞)
fill in,phr v,填寫(表格) (片語動詞) (例如: You need to fill in a form.)
fill up,phr v,加滿；裝滿 (片語動詞) (例如: He filled up the car with petrol.)
film,n,電影；膠卷 (名詞)
film,v,拍攝電影 (動詞)
film maker,n,電影製作人 (名詞)
film star,n,電影明星 (名詞)
final,adj,最後的；最終的 (形容詞)
final,n,決賽；期末考 (名詞)
finally,adv,最後；終於 (副詞)
financial,adj,財務的；金融的 (形容詞)
find,v,找到；發現 (動詞)
find out,phr v,找出；查明；發現 (片語動詞) (例如: I must find out when he's arriving.)
fine,adj,好的；晴朗的；細緻的；健康的 (形容詞)
fine,n,罰款 (名詞)
finger,n,手指 (名詞)
finish,n,結束；完成 (名詞)
finish,v,結束；完成 (動詞)
fire,n,火；火災；射擊 (名詞)
firefighter,n,消防員 (名詞)
firework,n,煙火 (名詞) (例如: a firework display)
firm,adj,堅固的；穩固的；堅定的 (形容詞)
firm,n,公司；商行 (名詞) (例如: a good firm to work for)
first,adj,第一的；首先的 (形容詞)
first,adv,首先；第一 (副詞) (例如: first prize; first of all)
first name,n,名字 (名詞) (相對於姓氏)
fish,n,魚；魚肉 (名詞) (單複數同形或加es)
fish,v,釣魚 (動詞)
fishing,n,釣魚；漁業 (名詞)
fit,adj,健康的；適合的 (形容詞) (例如: keep fit)
fit,v,適合；合身 (動詞) (例如: These shoes don't fit.)
fitness,n,健康；健美；適合 (名詞)
fix,v,修理；固定；安排 (動詞)
flag,n,旗幟 (名詞)
flat,adj,平坦的；(輪胎)洩氣的；(飲料)走氣的 (形容詞)
flat,n,公寓 (名詞) (英式英語)
flavour,n,味道；風味 (名詞) (英式拼法)
flavor,n,味道；風味 (名詞) (美式拼法)
flight,n,航班；飛行 (名詞)
float,v,漂浮 (動詞)
flood,n,洪水；水災 (名詞)
flood,v,淹沒；湧入 (動詞)
floor,n,地板；樓層 (名詞)
flour,n,麵粉 (名詞)
flow,v,流動 (動詞)
flower,n,花 (名詞)
flu,n,流行性感冒 (名詞)
flute,n,長笛 (名詞)
fly,n,蒼蠅；飛行 (名詞)
fly,v,飛；駕駛飛機 (動詞)
focus (on/upon),v,專注於；聚焦於 (動詞)
fog,n,霧 (名詞)
foggy,adj,有霧的 (形容詞)
fold,v,摺疊 (動詞)
folder,n,文件夾 (名詞) (尤指電腦的)
folk,adj,民間的 (形容詞)
folk,n,人們；民謠 (名詞)
follow,v,跟隨；遵守；聽懂 (動詞)
following,adj,接著的；下列的 (形容詞)
fond,adj,喜愛的；深情的 (形容詞) (例如: to be fond of something/someone)
food,n,食物 (名詞)
fool,n,傻瓜；笨蛋 (名詞)
foot,n,腳；英尺 (名詞)
football,n,足球(英式)；橄欖球(美式) (名詞)
footballer,n,足球運動員 (名詞) (英式)
for,prep,為了；給；達(一段時間)；贊成 (介係詞)
forbidden,adj,被禁止的 (形容詞)
forecast,n,預報 (名詞) (尤指天氣)
foreign,adj,外國的 (形容詞)
foreigner,n,外國人 (名詞)
forest,n,森林 (名詞)
forever,adv,永遠 (副詞)
forget,v,忘記 (動詞)
forgive,v,原諒 (動詞)
fork,n,叉子 (名詞)
form,n,表格；形式；種類 (名詞)
former,adj,從前的；前者 (形容詞)
fortnight,n,兩星期 (名詞) (英式)
fortunately,adv,幸運地 (副詞)
forward,adv,向前 (副詞)
forwards,adv,向前 (副詞) (forward的另一種寫法)
fountain,n,噴泉；飲水機 (名詞)
frame,n,框架；骨架 (名詞)
free,adj,自由的；免費的；空閒的 (形容詞)
free,adv,免費地；自由地 (副詞)
freeze,v,結冰；冷凍；僵住 (動詞)
freezer,n,冷凍庫；冰箱的冷凍室 (名詞)
freezing,adj,極冷的；冰凍的 (形容詞)
French fries,n pl,薯條 (名詞複數) (美式英語)
frequent,adj,頻繁的；經常的 (形容詞)
frequently,adv,頻繁地；經常地 (副詞)
fresh,adj,新鮮的；清新的 (形容詞)
fridge,n,冰箱 (名詞) (refrigerator的縮寫)
fried,adj,油炸的；煎的 (形容詞)
friend,n,朋友 (名詞)
friendly,adj,友善的；親切的 (形容詞)
friendship,n,友誼 (名詞)
frighten,v,使害怕；使驚恐 (動詞)
frightened,adj,感到害怕的 (形容詞)
frightening,adj,令人害怕的 (形容詞)
frog,n,青蛙 (名詞)
from,prep,從；來自 (介係詞)
front,adj,前面的 (形容詞)
front,n,前面；正面 (名詞)
frozen,adj,結凍的；冷凍的 (形容詞)
fruit,n,水果 (名詞) (可數或不可數)
fry,v,油炸；煎 (動詞)
frying pan,n,平底鍋；煎鍋 (名詞)
fuel,n,燃料 (名詞)
full,adj,滿的；完全的 (形容詞)
full stop,n,句號 (名詞) (英式英語)
full time,adv,全職地 (副詞)
full-time,adj,全職的 (形容詞)
fully,adv,完全地；充分地 (副詞)
fun,adj,有趣的 (形容詞)
fun,n,樂趣；好玩的事 (名詞)
funny,adj,好笑的；奇怪的 (形容詞) (例如: a funny story (amusing); a funny thing happened (strange))
fur,n,毛皮 (名詞)
furniture,n,傢俱 (名詞) (不可數)
further,adj,更遠的；進一步的 (形容詞)
further,adv,更遠地；進一步地 (副詞)
furthest,adj,最遠的 (形容詞)
future,adj,未來的 (形容詞)
future,n,未來 (名詞)
gain,v,獲得；增加 (動詞) (例如: gain experience)
gallery,n,美術館；畫廊 (名詞) (例如: an art gallery)
game,n,遊戲；比賽 (名詞)
gap,n,間隙；差距；缺口 (名詞)
garage,n,車庫；汽車修理廠 (名詞)
garden,n,花園；庭院 (名詞)
garlic,n,大蒜 (名詞)
gas,n,氣體；瓦斯；汽油(美式) (名詞)
gas station,n,加油站 (名詞) (美式英語)
gate,n,大門；登機門 (名詞)
general,adj,一般的；普遍的；將軍 (形容詞)
generally,adv,通常；一般而言 (副詞) (例如: I generally get home about 7.00.)
generation,n,世代；一代人 (名詞)
generous,adj,慷慨的；大方的 (形容詞)
gentle,adj,溫柔的；文雅的 (形容詞)
geography,n,地理學 (名詞)
get,v,得到；變成；到達；使得 (動詞)
get along (with),phr v,與...和睦相處 (片語動詞) (例如: How do you get along with Harry?)
get back,phr v,回來；取回 (片語動詞) (例如: When did you get back from New York?)
get down,phr v,下來；寫下；使沮喪 (片語動詞) (例如: Get down at once!; Did you get all the notes down?)
get fit,v phr,健身；保持健康 (動詞片語)
get in,phr v,進入；到達 (片語動詞) (例如: Can you get in through the window?)
get off,phr v,下車/船/飛機；離開 (片語動詞) (例如: We get off at the next stop.)
get on,phr v,上車/船/飛機；進展；相處 (片語動詞) (例如: Get your coat on...; How are you getting on now?)
