英文詞彙,詞性,中文解釋
lamp,n,燈 (名詞)
language,n,語言 (名詞)
laptop (computer),n,筆記型電腦 (名詞)
large,adj,大的 (形容詞)
last,adj,最後的；上一個的 (形容詞)
last,adv,最後地 (副詞)
late,adj,晚的；遲的 (形容詞) (例如：The train is going to be late. 火車要晚點了。)
late,adv,晚地；遲地 (副詞)
later,adv,稍後；後來 (副詞) (例如：I'll see you later. 待會見。)
laugh,v,笑 (動詞)
learn,v,學習 (動詞)
leather,n,皮革 (名詞)
leather,adj,皮革製的 (形容詞)
leave,v,離開；留下 (動詞) (例如：The train leaves at 10 o'clock. 火車十點開。; I left my bag in the cinema. 我把包包留在電影院了。; There isn't any milk left. 沒有牛奶了。)
left,n,左邊 (名詞) (例如：Go to the left. 往左走。)
left,adj,左邊的 (形容詞) (例如：left hand 左手)
left,adv,向左 (副詞) (例如：Turn left. 向左轉。)
leg,n,腿 (名詞)
lemon,n,檸檬 (名詞)
lemonade,n,檸檬水 (名詞)
less,adj,較少的 (little的比較級) (形容詞)
less,det,較少的 (限定詞)
less,pron,較少的量 (代名詞)
less,adv,較少地 (副詞)
lesson,n,課；教訓 (名詞)
let,v,讓；允許 (動詞)
letter,n,信；字母 (名詞)
level,n,水平；程度；級別 (名詞) (例如：language level 語言程度)
library,n,圖書館 (名詞)
licence,n,執照；許可證 (名詞) (例如：driving licence 駕照)
lie down,phr v,躺下 (動詞片語)
life,n,生活；生命 (名詞)
lift,n,電梯 (英式)；搭便車 (名詞) (例如：Take the lift to the third floor. 搭電梯到三樓。)
light,n,光線；燈 (名詞)
light,adj,輕的；淺色的；明亮的 (形容詞)
like,v,喜歡 (動詞) (例如：I'd like a drink. 我想喝一杯。)
like,prep,像；如同 (介係詞) (例如：It's like an orange but bigger. 它像柳橙但比較大。)
like,adv,怎麼樣 (用於疑問) (副詞) (例如：What's the weather like? 天氣怎麼樣？)
line,n,線；隊伍；台詞 (名詞) (例如：draw a line 畫一條線; the next line 下一行)
lion,n,獅子 (名詞)
listen,v,聽 (動詞)
litre,n,公升 (名詞)
little,adj,小的；少的 (形容詞)
little,det,少許的 (限定詞)
little,pron,少許 (代名詞)
live,v,居住；生活 (動詞)
living room,n,客廳 (名詞)
long,adj,長的 (形容詞)
look,v,看；看起來 (動詞) (例如：You look happy. 你看起來很高興。; Don't look now! 現在別看！)
look after,phr v,照顧 (動詞片語)
look at,phr v,看著 (動詞片語)
look for,phr v,尋找 (動詞片語)
look out,phr v,小心；當心 (動詞片語) (例如：Look out - it's going to fall! 小心 - 它要掉下來了！)
lorry,n,卡車 (英式) (名詞)
lose,v,失去；輸掉 (動詞) (例如：We lost the game. 我們輸了比賽。; I've lost my passport. 我弄丟了我的護照。)
lot,n,許多；大量 (名詞) (例如：a lot of homework 很多作業)
lots,n,許多；大量 (名詞)
loud,adj,大聲的 (形容詞)
love,n,愛；喜愛 (名詞)
love,v,愛；喜愛 (動詞)
lovely,adj,可愛的；美好的 (形容詞)
low,adj,低的 (形容詞)
luck,n,運氣 (名詞)
lucky,adj,幸運的 (形容詞)
luggage,n,行李 (總稱，不可數) (名詞)
lunch,n,午餐 (名詞)
machine,n,機器 (名詞)
magazine,n,雜誌 (名詞)
make,v,製造；使得；賺 (動詞)
make up,n,化妝品 (名詞)
man,n,男人；人類 (名詞)
manager,n,經理 (名詞)
many,det,許多的 (限定詞)
many,adj,許多的 (形容詞)
many,pron,許多 (代名詞)
map,n,地圖 (名詞)
market,n,市場 (名詞)
married,adj,已婚的 (形容詞)
match,n,比賽；火柴；相配的人/物 (名詞) (例如：football match 足球比賽)
matter,v,要緊；有關係 (動詞) (例如：It doesn't matter. 沒關係。)
maybe,adv,或許；大概 (副詞)
me,pron,我 (受格) (代名詞)
meal,n,一餐 (名詞)
mean,v,意思是；打算 (動詞)
meat,n,肉類 (名詞)
mechanic,n,技工；機械師 (名詞)
medicine,n,藥；醫學 (名詞)
meet,v,遇見；開會 (動詞)
meeting,n,會議 (名詞)
member,n,成員 (名詞) (例如：a member of a club 俱樂部成員)
menu,n,菜單 (名詞)
message,n,訊息；留言 (名詞)
metre,n,公尺 (名詞)
middle,n,中間 (名詞) (例如：in the middle 在中間)
midnight,n,午夜 (名詞)
mile,n,英里 (名詞)
milk,n,牛奶 (名詞)
million,n,百萬 (名詞)
mind,v,介意；注意；照看 (動詞) (例如：Do you mind if I close the window? 你介意我關窗嗎？; I don't mind if... 我不介意如果...; Mind your head! 小心你的頭！)
mine,pron,我的 (所有格代名詞)
mineral water,n,礦泉水 (名詞)
minute,n,分鐘 (名詞)
mirror,n,鏡子 (名詞)
Miss,n,小姐 (用於未婚女性姓氏前) (名詞)
miss,v,錯過；想念 (動詞)
mistake,n,錯誤 (名詞)
mobile (phone),n,手機 (名詞)
modern,adj,現代的 (形容詞)
moment,n,片刻；瞬間 (名詞) (例如：Just a moment. 請稍等。)
money,n,錢；金錢 (名詞)
monkey,n,猴子 (名詞)
month,n,月份 (名詞)
monthly,adj,每月的 (形容詞)
monthly,adv,每月地 (副詞)
moon,n,月亮 (名詞)
more,adj,更多的 (many/much的比較級) (形容詞)
more,det,更多的 (限定詞)
more,pron,更多的量/數 (代名詞)
more,adv,更 (副詞)
morning,n,早上；上午 (名詞)
most,adj,最多的 (many/much的最高級)；大部分的 (形容詞)
most,det,最多的；大部分的 (限定詞)
most,pron,最多的量/數；大部分 (代名詞)
most,adv,最 (副詞)
mother,n,母親 (名詞)
motorbike,n,摩托車 (名詞)
motorway,n,高速公路 (英式) (名詞)
mountain,n,山 (名詞)
mouse,n,老鼠；滑鼠 (名詞)
mouth,n,嘴巴 (名詞)
move,v,移動；搬家 (動詞)
MP3 player,n,MP3播放器 (名詞)
Mr,n,先生 (用於男性姓氏前) (名詞)
Mrs,n,太太；夫人 (用於已婚女性姓氏前) (名詞)
Ms,n,女士 (用於女性姓氏前，不論婚否) (名詞)
much,adj,許多的 (不可數) (形容詞)
much,det,許多的 (不可數) (限定詞)
much,pron,許多的量 (不可數) (代名詞)
much,adv,非常；很 (副詞)
mum(my),n,媽媽 (名詞)
museum,n,博物館 (名詞)
music,n,音樂 (名詞)
musician,n,音樂家 (名詞)
must,v,必須 (助動詞)
my,det,我的 (限定詞)
myself,pron,我自己 (反身代名詞)
name,n,名字；名稱 (名詞)
national,adj,國家的；民族的 (形容詞)
nationality,n,國籍 (名詞)
nature,n,自然；本性 (名詞)
near,adv,附近 (副詞)
near,prep,靠近 (介係詞)
nearly,adv,幾乎；差不多 (副詞)
neck,n,脖子 (名詞)
need,v,需要 (動詞)
neighbour,n,鄰居 (名詞)
never,adv,從不；永不 (副詞)
new,adj,新的 (形容詞)
news,n,新聞；消息 (名詞)
newsagent,n,報攤；書報攤販 (名詞)
newspaper,n,報紙 (名詞)
next,adj,下一個的；緊鄰的 (形容詞)
next,adv,接下來；然後 (副詞)
next to,prep,在...旁邊 (介係詞)
nice,adj,好的；令人愉快的；友善的 (形容詞)
night,n,夜晚 (名詞)
no,det,沒有；無 (限定詞)
no,exclam,不 (感嘆詞)
nobody,pron,沒有人 (代名詞)
no one,pron,沒有人 (代名詞)
noisy,adj,吵鬧的 (形容詞)
noon,n,中午 (名詞)
none,pron,一個也沒有；一點也沒有 (代名詞)
normal,adj,正常的；標準的 (形容詞)
north,n,北方；北部 (名詞)
north,adj,北方的 (形容詞)
north,adv,向北 (副詞)
nose,n,鼻子 (名詞)
not,adv,不；沒有 (副詞)
note,n,筆記；便條；音符；紙幣 (名詞)
note,v,注意；記錄 (動詞)
nothing,pron,沒有什麼；無事 (代名詞)
now,adv,現在 (副詞)
nowhere,adv,無處；任何地方都不 (副詞)
number,n,數字；號碼；數量 (名詞)
nurse,n,護士 (名詞)
occupation,n,職業 (名詞)
o'clock,adv,...點鐘 (副詞)
of,prep,的；屬於；關於 (介係詞)
of course (not),adv,當然(不) (副詞片語)
off,adv,離開；脫離；關掉 (副詞)
office,n,辦公室 (名詞)
often,adv,常常；經常 (副詞)
oil,n,油；石油 (名詞) (例如：car oil 汽車機油; cooking oil 食用油)
OK/okay,exclam,好的；可以 (感嘆詞)
old,adj,老的；舊的 (形容詞)
omelette,n,煎蛋捲；歐姆蛋 (名詞)
on,prep,在...上面；關於；在 (某日/時間) (介係詞)
on,adv,開著；繼續 (副詞)
once,adv,一次；曾經 (副詞) (例如：only once 僅此一次)
one,pron,一個；任何人 (代名詞)
one,det,一個的 (限定詞)
one,num,一 (數字)
onion,n,洋蔥 (名詞)
online,adj,線上的 (形容詞)
online,adv,在線上 (副詞)
only,adv,只有；僅僅 (副詞) (例如：I only wanted to help. 我只是想幫忙。)
only,adj,唯一的 (形容詞) (例如：the only one 唯一的一個)
open,adj,開著的；開放的 (形容詞)
open,v,打開；開始 (動詞)
opera,n,歌劇 (名詞)
opposite,prep,在...對面 (介係詞)
or,conj,或者；否則 (連接詞)
orange,adj,橘色的 (形容詞)
orange,n,柳橙；橘色 (名詞)
order,n,順序；命令；訂單 (名詞)
other,det,其他的；另外的 (限定詞)
our,det,我們的 (限定詞)
ours,pron,我們的 (所有格代名詞)
ourselves,pron,我們自己 (反身代名詞)
out,adv,外面；向外 (副詞)
outdoor,adj,戶外的 (形容詞)
outdoors,adv,在戶外 (副詞)
outside,prep,在...外面 (介係詞)
outside,adv,在外面 (副詞)
over,prep,在...上方；越過；超過 (介係詞) (例如：to travel all over the world 環遊世界)
over,adv,結束；超過；翻轉 (副詞) (例如：over 60 people 超過60人)
own,adj,自己的 (形容詞) (例如：They cook their own meals. 他們自己做飯。)
pack,v,打包；裝箱 (動詞) (例如：pack a suitcase 打包行李箱)
page,n,頁 (名詞)
pain,n,疼痛 (名詞)
paint,v,油漆；繪畫 (動詞)
paint,n,油漆；顏料 (名詞)
pair,n,一雙；一對 (名詞) (例如：a pair of shoes 一雙鞋)
paper,n,紙；報紙；文件；論文 (名詞)
paper,adj,紙製的 (形容詞)
pardon,exclam,對不起；請再說一遍 (感嘆詞) (例如：Pardon? 什麼？/請再說一遍？)
parent,n,父母 (父親或母親) (名詞)
park,n,公園；停車場 (名詞)
park,v,停車 (動詞)
parrot,n,鸚鵡 (名詞)
part,n,部分；零件；角色 (名詞) (例如：the best part of the day 一天中最好的部分)
party,n,派對；政黨 (名詞)
pass,v,通過；經過；傳遞 (動詞) (例如：You pass the station on the left. 你會經過左邊的車站。; to pass a driving test 通過駕照考試)
passenger,n,乘客 (名詞)
passport,n,護照 (名詞)
past,prep,經過；過了 (時間) (介係詞)
pasta,n,義大利麵 (總稱) (名詞)
path,n,小徑；路徑 (名詞)
pay,v,付錢；償還 (動詞)
pen,n,筆 (名詞)
pence,n pl,便士 (penny的複數，英式貨幣) (複數名詞)
pencil,n,鉛筆 (名詞)
pencil case,n,鉛筆盒 (名詞)
pen-friend,n,筆友 (名詞)
penny,n,便士 (英式貨幣) (名詞)
people,n pl,人們；人民 (複數名詞)
pepper,n,胡椒；甜椒 (名詞)
per,prep,每；每一 (介係詞)
perhaps,adv,或許；大概 (副詞)
person,n,人 (名詞)
pet,n,寵物 (名詞)
petrol,n,汽油 (英式) (名詞)
petrol station,n,加油站 (英式) (名詞)
pharmacy,n,藥局；藥房 (名詞)
phone,v,打電話 (動詞)
phone,n,電話 (名詞)
photo(graph),n,照片 (名詞)
photography,n,攝影；攝影術 (名詞)
piano,n,鋼琴 (名詞)
picnic,n,野餐 (名詞)
picture,n,圖片；照片；電影 (名詞)
piece,n,一塊；一片；一件 (名詞) (例如：a piece of cake 一塊蛋糕)
pillow,n,枕頭 (名詞)
pilot,n,飛行員 (名詞)
pink,adj,粉紅色的 (形容詞)
pity,n,可惜；憐憫 (名詞) (例如：What a pity! 真可惜！)
pizza,n,披薩 (名詞)
place,n,地方；地點；位置 (名詞)
plan,n,計畫；方案 (名詞)
plan,v,計畫；打算 (動詞)
plane,n,飛機 (名詞) (例如：The plane was late. 飛機晚點了。)
plant,n,植物；工廠 (名詞)
plastic,n,塑膠 (名詞)
plastic,adj,塑膠製的 (形容詞)
plate,n,盤子 (名詞)
platform,n,月台；平台 (名詞) (例如：Your train leaves from Platform 8. 你的火車從8號月台開出。)
play,v,玩；演奏；扮演；比賽 (動詞) (例如：to play football 踢足球; to play the guitar 彈吉他)
play,n,戲劇；玩耍 (名詞) (例如：a play at the theatre 劇院的戲劇)
playground,n,遊樂場 (名詞)
pleasant,adj,令人愉快的；舒適的 (形容詞)
please,v,取悅；使高興 (動詞) (例如：I'm very pleased for you. 我真為你高興。)
please,exclam,請 (感嘆詞) (例如：Please be quiet! 請安靜！)
p.m.,adv,下午；午後 (副詞)
pocket,n,口袋 (名詞)
point,v,指向；指出 (動詞)
police,n,警察 (總稱) (名詞)
police car,n,警車 (名詞)
police officer,n,警官；警察 (名詞)
police station,n,警察局 (名詞)
pool,n,水池；游泳池 (名詞) (例如：swimming pool 游泳池)
poor,adj,貧窮的；可憐的；差的 (形容詞)
pop,n,流行音樂 (名詞)
pop,adj,流行的 (形容詞) (例如：pop music 流行音樂)
popular,adj,受歡迎的；流行的 (形容詞)
possible,adj,可能的 (形容詞)
post,v,郵寄；張貼 (動詞) (例如：to post a letter 寄信)
post,n,郵件；職位；柱子 (名詞) (例如：What's in the post today? 今天有什麼郵件？)
postcard,n,明信片 (名詞)
post office,n,郵局 (名詞)
poster,n,海報 (名詞)
potato,n,馬鈴薯 (名詞)
pound (£),n,英鎊；磅 (重量單位) (名詞)
practice,n,練習；實踐 (名詞) (例如：football practice 足球練習)
practise,v,練習 (動詞) (例如：You must practise if you want to play well. 如果你想打得好，就必須練習。)
prefer,v,比較喜歡；寧願 (動詞)
present,n,禮物；現在 (名詞) (例如：a birthday present 生日禮物)
pretty,adj,漂亮的；相當的 (形容詞)
price,n,價格 (名詞)
prize,n,獎品；獎賞 (名詞)
problem,n,問題 (名詞)
programme,n,節目；計畫；課程 (英式) (名詞) (例如：TV programme 電視節目)
project,n,計畫；專案；課題 (名詞) (例如：a school project 學校作業/專題)
pull,v,拉；拖 (動詞)
pupil,n,學生 (尤指小學生) (名詞)
purple,adj,紫色的 (形容詞)
purse,n,錢包 (尤指女用) (名詞)
push,v,推 (動詞)
put,v,放；放置 (動詞)
put on,phr v,穿上；戴上；上演 (動詞片語)
quiz,n,小考；測驗；問答競賽 (名詞)
race,n,賽跑；種族 (名詞) (例如：a running race 賽跑)
race,v,賽跑；競速 (動詞) (例如：She raced her brother to the bus stop. 她和她哥哥賽跑去公車站。)
racket,n,球拍 (名詞) (例如：Can I borrow your tennis racket? 我可以借你的網球拍嗎？)
radio,n,收音機；無線電 (名詞)
railway,n,鐵路 (名詞)
rain,n,雨；雨水 (名詞)
rain,v,下雨 (動詞)
raincoat,n,雨衣 (名詞)
rap,n,饒舌歌 (名詞)
rather,adv,相當；寧可 (副詞) (例如：rather old 相當老)
read,v,閱讀；朗讀 (動詞)
ready,adj,準備好的 (形容詞) (例如：When will it be ready? 什麼時候會準備好？)
real,adj,真實的；真正的 (形容詞)
really,adv,真正地；非常 (副詞)
receptionist,n,接待員 (名詞)
red,adj,紅色的 (形容詞)
reggae,n,雷鬼音樂 (名詞)
remember,v,記得；記住 (動詞)
rent,v,租用；出租 (動詞)
repair,v,修理 (動詞)
rest,n,休息；剩餘部分 (名詞) (例如：to have a rest 休息一下)
rest,v,休息 (動詞) (例如：'Try to rest', the doctor said. 醫生說：「試著休息一下」。)
restaurant,n,餐廳；餐館 (名詞)
return,n,歸還；返回；回報 (名詞) (例如：my return from holiday 我度假回來)
return,v,歸還；返回 (動詞) (例如：He returned home late. 他很晚回家。; She returned her library books. 她歸還了圖書館的書。)
rice,n,米飯；稻米 (名詞)
rich,adj,富有的；豐富的 (形容詞)
ride,n,騎乘；搭乘 (名詞)
ride,v,騎 (馬、自行車等)；搭乘 (動詞)
right,n,右邊；權利 (名詞) (例如：He swam to the right. 他向右游。)
right,adj,右邊的；正確的 (形容詞) (例如：your right hand 你的右手; That's the right answer. 那是正確答案。)
right,adv,向右；正好；立即 (副詞) (例如：Turn right here. 在這裡右轉。)
river,n,河流 (名詞)
road,n,路；道路 (名詞)
roast,v,烤 (肉類等) (動詞)
roast,adj,烤的 (形容詞)
rock,n,岩石；搖滾樂 (名詞) (例如：rock concert 搖滾音樂會)
roof,n,屋頂 (名詞)
room,n,房間；空間 (名詞) (例如：a double room 雙人房)
round,adj,圓的；環繞的 (形容詞)
roundabout,n,圓環；旋轉木馬 (名詞)
run,v,跑；經營；運轉 (動詞)
sad,adj,悲傷的；難過的 (形容詞)
safe,adj,安全的 (形容詞)
sail,v,航行；駕駛帆船 (動詞)
sailing,n,帆船運動；航行 (名詞)
salad,n,沙拉 (名詞)
sale,n,銷售；特價 (名詞) (例如：for sale 出售)
salt,n,鹽 (名詞)
same,adj,相同的；同樣的 (形容詞) (例如：at the same time 同時)
same,pron,同樣的事物/人 (代名詞) (例如：Your watch is the same as mine. 你的手錶和我的相同。)
sandwich,n,三明治 (名詞)
save,v,拯救；節省；儲存 (動詞) (例如：to save money 省錢; to save time 省時間)
say,v,說；講 (動詞)
school,n,學校 (名詞)
screen,n,螢幕；屏風 (名詞)
scooter,n,滑板車；小型摩托車 (名詞)
sea,n,海；海洋 (名詞)
seat,n,座位 (名詞)
second,n,秒；第二名 (名詞)
second,adj,第二的 (形容詞)
secretary,n,秘書 (名詞)
see,v,看見；明白；拜訪 (動詞)
sell,v,賣；銷售 (動詞)
send,v,寄；送；派遣 (動詞)
sentence,n,句子；判決 (名詞)
several,det,幾個的；數個的 (限定詞)
several,adj,幾個的；數個的 (形容詞)
shall,v,將要 (用於第一人稱，表將來或提議) (助動詞)
shampoo,v,用洗髮精洗 (頭髮) (動詞)
shampoo,n,洗髮精 (名詞)
she,pron,她 (代名詞)
sheet,n,床單；一張 (紙) (名詞) (例如：a bed sheet 床單)
shelf,n,架子 (名詞)
ship,n,船 (大型) (名詞)
shirt,n,襯衫 (名詞)
shoe,n,鞋子 (名詞)
shop,n,商店 (名詞)
shop,v,購物 (動詞)
shop assistant,n,店員 (名詞)
short,adj,短的；矮的 (形容詞) (例如：a short time 短時間)
shorts,n pl,短褲 (複數名詞)
should,v,應該 (助動詞)
shout,v,喊叫 (動詞)
show,v,展示；顯示；表演 (動詞) (例如：Show me your photos. 給我看你的照片。)
show,n,表演；展覽 (名詞) (例如：a film show 電影放映)
shower,n,淋浴；陣雨 (名詞)
shut,v,關閉 (動詞)
sick,adj,生病的；噁心的 (形容詞)
side,n,邊；面；旁邊 (名詞) (例如：this side of the room 房間的這一邊)
silver,n,銀；銀器 (名詞)
silver,adj,銀色的；銀製的 (形容詞)
since,prep,自從...以來 (介係詞)
sincerely,adv,真誠地；由衷地 (副詞) (例如：Yours sincerely 您真誠的 (信末署名前用語))
sing,v,唱歌 (動詞)
single,adj,單一的；單身的 (形容詞)
sister,n,姐妹 (名詞)
sit,v,坐 (動詞)
sit down,phr v,坐下 (動詞片語)
sitting room,n,起居室；客廳 (名詞)
size,n,尺寸；大小 (名詞)
skate,v,溜冰；滑冰 (動詞)
skateboard,n,滑板 (名詞)
ski,v,滑雪 (動詞)
skirt,n,裙子 (名詞)
sky,n,天空 (名詞)
sleep,v,睡覺 (動詞)
slice,n,薄片；一份 (名詞)
slow,adj,慢的 (形容詞)
small,adj,小的 (形容詞)
smoke,v,抽煙；冒煙 (動詞)
snack,n,點心；小吃 (名詞)
snow,n,雪 (名詞)
snow,v,下雪 (動詞)
snowboard,n,滑雪板 (單板) (名詞)
snowboarding,n,單板滑雪運動 (名詞)
so,conj,所以；因此 (連接詞) (例如：So, I think it's right. 所以，我認為它是對的。; He ate too much, so he felt ill. 他吃太多了，所以他覺得不舒服。)
so,adv,如此；這麼 (副詞) (例如：He wanted to go but he didn't say so. 他想去但他沒這麼說。)
soap,n,肥皂 (名詞)
sock,n,襪子 (短襪) (名詞)
sofa,n,沙發 (名詞)
soft,adj,軟的；溫柔的 (形容詞)
some,det,一些；有些 (限定詞)
some,pron,一些；有些 (代名詞)
somebody,pron,某人 (代名詞)
someone,pron,某人 (代名詞)
something,pron,某事；某物 (代名詞)
sometimes,adv,有時候 (副詞)
somewhere,adv,在某處 (副詞)
son,n,兒子 (名詞)
song,n,歌曲 (名詞)
soon,adv,很快；不久 (副詞)
sorry,adj,抱歉的；遺憾的 (形容詞) (例如：I'm sorry I'm late. 對不起我遲到了。; Sorry, I don't understand that. 對不起，我不明白那個。)
sound,v,聽起來；發出聲音 (動詞) (例如：That sounds nice. 那聽起來不錯。)
soup,n,湯 (名詞)
south,n,南方；南部 (名詞)
south,adj,南方的 (形容詞)
south,adv,向南 (副詞)
space,n,空間；太空 (名詞)
speak,v,說話；演講 (動詞)
special,adj,特別的；特殊的 (形容詞)
spell,v,拼字 (動詞)
spend,v,花費 (時間、金錢)；度過 (動詞)
spoon,n,湯匙 (名詞)
sport,n,運動 (名詞)
sports centre,n,運動中心 (名詞)
spring,n,春天；泉水；彈簧 (名詞) (例如：I hate winter but I love spring. 我討厭冬天但我愛春天。)
square,n,正方形；廣場 (名詞)
square,adj,正方形的 (形容詞)
stadium,n,體育場 (名詞)
staff,n,全體員工；教職員 (集合名詞) (名詞)
stage,n,舞台；階段 (名詞)
stairs,n pl,樓梯 (複數名詞)
stamp,n,郵票；印章 (名詞) (例如：Put a stamp on the envelope. 在信封上貼郵票。)
stand,v,站立；忍受 (動詞) (例如：She was standing at the bus stop. 她正站在公車站。)
star,n,星星；明星 (名詞)
star,v,主演 (動詞)
start,v,開始；出發 (動詞)
station,n,車站；局；台 (名詞)
stay,v,停留；保持 (動詞)
steak,n,牛排；肉排 (名詞)
steal,v,偷竊 (動詞) (例如：Someone's stolen my bag! 有人偷了我的包！)
still,adv,仍然；還 (副詞)
stomach,n,胃；腹部 (名詞)
stop,n,停止；車站 (名詞)
stop,v,停止；阻止 (動詞)
store,n,商店 (尤指大型)；儲存 (名詞)
storm,n,暴風雨 (名詞)
story,n,故事 (名詞)
straight,adj,直的；坦率的 (形容詞)
straight on,adv,一直往前 (副詞)
strange,adj,奇怪的；陌生的 (形容詞) (例如：That's a strange story! 那是個奇怪的故事！)
street,n,街道 (名詞)
strong,adj,強壯的；濃的 (形容詞)
student,n,學生 (名詞)
studies,n pl,學業；研究 (複數名詞)
study,v,學習；研究 (動詞)
subject,n,科目；主題；主詞 (名詞) (例如：What's your favourite subject at school? 你在學校最喜歡的科目是什麼？; the subject of a talk 談話的主題)
success,n,成功 (名詞)
such,det,如此的；這樣的 (限定詞)
such,adj,如此的；這樣的 (形容詞)
suddenly,adv,突然地 (副詞)
sugar,n,糖 (名詞)
suit,n,西裝；套裝；訴訟 (名詞) (例如：He was wearing a grey suit. 他穿著一套灰色西裝。)
suitcase,n,行李箱 (名詞)
summer,n,夏天 (名詞)
sun,n,太陽 (名詞)
sunny,adj,晴朗的 (形容詞)
supermarket,n,超級市場 (名詞)
supper,n,晚餐；宵夜 (名詞)
suppose,v,猜想；認為；假定 (動詞) (例如：I suppose so. 我想是這樣。; I suppose you're right. 我想你是對的。)
sure,adj,確定的；肯定的 (形容詞) (例如：I'm (not) sure. 我(不)確定。)
surfboard,n,衝浪板 (名詞)
surfing,n,衝浪運動 (名詞)
surname,n,姓氏 (名詞)
surprise,n,驚訝；令人驚訝的事物 (名詞)
surprised,adj,感到驚訝的 (形容詞)
sweater,n,毛衣 (名詞)
sweet,n,糖果 (英式)；甜點 (名詞)
sweet,adj,甜的；可愛的 (形容詞)
swim,v,游泳 (動詞)
table,n,桌子；表格 (名詞)
table-tennis,n,桌球；乒乓球 (名詞)
take,v,拿；帶；花費(時間)；乘坐 (動詞) (例如：I'll take it to your room. 我會把它拿到你房間。; It takes three hours. 它需要三小時。)
take off,phr v,脫掉 (衣物)；起飛 (動詞片語) (例如：She took off her shoes. 她脫掉了鞋子。)
talk,n,談話；演講 (名詞)
talk,v,說話；談論 (動詞)
tall,adj,高的 (形容詞)
taxi,n,計程車 (名詞)
tea,n,茶；下午茶 (名詞)
teach,v,教導 (動詞)
team,n,隊；組 (名詞)
teenager,n,青少年 (13-19歲) (名詞)
telephone,n,電話 (名詞)
telephone,v,打電話 (動詞)
television,n,電視；電視機 (名詞)
tell,v,告訴；吩咐 (動詞)
temperature,n,溫度；體溫 (名詞) (例如：The temperature was below zero. 溫度在零度以下。)
tennis,n,網球 (名詞)
tent,n,帳篷 (名詞)
term,n,學期；術語；條款 (名詞)
terrible,adj,糟糕的；可怕的 (形容詞)
test,n,測驗；考試；試驗 (名詞)
text,n,文本；簡訊 (名詞)
text,v,發簡訊 (動詞)
text book,n,教科書 (名詞)
text message,n,簡訊 (名詞)
than,prep,比 (用於比較) (介係詞)
than,conj,比 (用於比較) (連接詞)
thank,v,感謝 (動詞)
the,det,這；那 (定冠詞) (限定詞)
theatre,n,劇院；戲劇 (名詞)
their,det,他們的；她們的；它們的 (限定詞)
theirs,pron,他們的；她們的；它們的 (所有格代名詞)
them,pron,他們；她們；它們 (受格) (代名詞)
themselves,pron,他們自己；她們自己；它們自己 (反身代名詞)
then,adv,然後；那麼；當時 (副詞)
there,adv,那裡；在那裡 (副詞)
these,det,這些的 (限定詞)
these,pron,這些 (代名詞)
they,pron,他們；她們；它們 (代名詞)
thin,adj,瘦的；薄的 (形容詞)
thing,n,事物；東西 (名詞)
think,v,想；認為 (動詞)
thirsty,adj,口渴的 (形容詞)
this,det,這個的 (限定詞)
this,pron,這個 (代名詞)
those,det,那些的 (限定詞)
those,pron,那些 (代名詞)
through,prep,穿過；通過 (介係詞)
throw,v,丟；擲 (動詞)
thunderstorm,n,雷雨 (名詞)
ticket,n,票；券 (名詞)
tidy,adj,整潔的；整齊的 (形容詞)
tidy,v,整理；收拾 (動詞)
tidy up,v,整理乾淨 (動詞片語)
tiger,n,老虎 (名詞)
tights,n pl,褲襪；緊身褲 (複數名詞)
till,prep,直到...為止 (介係詞)
time,n,時間；次數；倍數 (名詞)
tired,adj,疲倦的；厭煩的 (形容詞)
to,prep,到；向；給 (介係詞)
today,n,今天 (名詞)
today,adv,今天 (副詞)
together,adv,一起 (副詞)
toilet,n,廁所；馬桶 (名詞)
tomato,n,番茄 (名詞)
tomorrow,n,明天 (名詞)
tomorrow,adv,明天 (副詞)
tonight,n,今晚 (名詞)
tonight,adv,今晚 (副詞)
too,adv,也；太 (副詞)
tooth,n,牙齒 (名詞)
toothbrush,n,牙刷 (名詞)
top,n,頂部；上面；陀螺 (名詞) (例如：the top of the page 頁面的頂部)
total,adj,總計的；全部的 (形容詞)
total,n,總數；合計 (名詞)
tour,n,旅遊；觀光 (名詞)
tour,v,旅遊；觀光 (動詞)
tour guide,n,導遊 (名詞)
tourist,n,遊客；觀光客 (名詞)
tourist information centre,n,遊客資訊中心 (名詞)
towel,n,毛巾 (名詞)
town,n,城鎮 (名詞)
toy,n,玩具 (名詞)
traffic,n,交通 (名詞)
traffic lights,n pl,紅綠燈 (複數名詞)
train,n,火車 (名詞)
trainers,n pl,運動鞋 (英式) (複數名詞)
tram,n,電車 (名詞)
travel,v,旅行 (動詞)
travel agent,n,旅行社專員 (名詞)
tree,n,樹 (名詞)
trip,n,旅行；旅程 (短途) (名詞)
trouble,n,麻煩；困難 (名詞)
trousers,n pl,褲子 (英式) (複數名詞)
try,v,嘗試；設法；審判 (動詞)
try on,phr v,試穿 (動詞片語)
T-shirt,n,T恤 (名詞)
turn,v,轉動；轉變；輪到 (動詞)
turn off,phr v,關掉 (電器等) (動詞片語) (例如：Turn the gas off. 關掉瓦斯。)
turn on,phr v,打開 (電器等) (動詞片語) (例如：Turn the heating on. 打開暖氣。)
twice,adv,兩次；兩倍 (副詞)
type,n,類型；字體 (名詞)
tyre,n,輪胎 (英式) (名詞)
umbrella,n,雨傘 (名詞)
